NN,AU,TI,URL,Year,Outcome,StudyType,Platform,SampleType,GeographicContext,MisinforSource,LabelOrCorrectionSource,LabelOrCorrectionSourceClean,LabelOrCorrectionFormat,LabelOrCorrectionType,ParticipantsIssueInvolvement,MisinformationFormat,IssueType,nTotal,d,95%C.I.min,95%C.I.max,v
1. Content labeling on information perception,,,,,,,,,,,,,,,,,,,,,,
113,"PENNYCOOK G, CANNON T, RAND D",PRIOR EXPOSURE INCREASES PERCEIVED ACCURACY OF FAKE NEWS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6279465/,2018,1,QES,not specified,Mechanical Turk,not specified,news headline,fact-checkers/experts,fact-checkers/experts,text and warning sign,simple rebuttal,"Not recruited due to issue, but were asked about their political affiliation and the news stories were political.",text and visual,political,949,0.1511,0.0234,0.2789,0.0042
124,"KIM A, DENNIS A",SAYS WHO THE EFFECTS OF PRESENTATION FORMAT AND SOURCE RATING ON FAKE NEWS IN SOCIAL MEDIA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2987867,2019,2,QES,Facebook, 6.3 general adult sample,US,news headline shared by fb user,facebook flag,platform,source rating,simple rebuttal,18.1 low,headline,health,1520,0.1488,0.0463,0.2514,0.0027
523,"MORAVEC P, KIM A, DENNIS A",APPEALING TO SENSE AND SENSIBILITY SYSTEM 1 AND SYSTEM 2 INTERVENTIONS FOR FAKE NEWS ON SOCIAL MEDIA,https://doi.org/10.1287/ISRE.2020.0927 / https://deliverypdf.ssrn.com/delivery.php?ID=993117004090103022102015111096090099034055034085049024074119018067073118099001010070126021101010021033124127084104111117118127105049038021028065102064096107003080070002054038087012022075069085086099127098007094029011118016005089090066099010094124106066&EXT=pdf&INDEX=TRUE ,2020,3,QES,Facebook,6.1 qualtrics,US,news headline shared by fb user,facebook flag,platform,text and warning sign,simple rebuttal,18.1 low,headline,political,100,0.1552,0.1224,0.4328,0.0201
523,"MORAVEC P, KIM A, DENNIS A",APPEALING TO SENSE AND SENSIBILITY SYSTEM 1 AND SYSTEM 2 INTERVENTIONS FOR FAKE NEWS ON SOCIAL MEDIA,https://doi.org/10.1287/ISRE.2020.0927 / https://deliverypdf.ssrn.com/delivery.php?ID=993117004090103022102015111096090099034055034085049024074119018067073118099001010070126021101010021033124127084104111117118127105049038021028065102064096107003080070002054038087012022075069085086099127098007094029011118016005089090066099010094124106066&EXT=pdf&INDEX=TRUE ,2020,4,QES,Facebook,6.1 qualtrics,US,news headline shared by fb user,facebook flag,platform,warning sign,simple rebuttal,18.1 low,headline,political,100,0.3657,0.0862,0.6452,0.0203
523,"MORAVEC P, KIM A, DENNIS A",APPEALING TO SENSE AND SENSIBILITY SYSTEM 1 AND SYSTEM 2 INTERVENTIONS FOR FAKE NEWS ON SOCIAL MEDIA,https://doi.org/10.1287/ISRE.2020.0927 / https://deliverypdf.ssrn.com/delivery.php?ID=993117004090103022102015111096090099034055034085049024074119018067073118099001010070126021101010021033124127084104111117118127105049038021028065102064096107003080070002054038087012022075069085086099127098007094029011118016005089090066099010094124106066&EXT=pdf&INDEX=TRUE ,2020,5,QES,Facebook,6.1 qualtrics,US,news headline shared by fb user,facebook flag,platform,text and warning sign,simple rebuttal,18.1 low,headline,political,100,0.3493,0.0701,0.6286,0.0203
523,"MORAVEC P, KIM A, DENNIS A",APPEALING TO SENSE AND SENSIBILITY SYSTEM 1 AND SYSTEM 2 INTERVENTIONS FOR FAKE NEWS ON SOCIAL MEDIA,https://doi.org/10.1287/ISRE.2020.0927 / https://deliverypdf.ssrn.com/delivery.php?ID=993117004090103022102015111096090099034055034085049024074119018067073118099001010070126021101010021033124127084104111117118127105049038021028065102064096107003080070002054038087012022075069085086099127098007094029011118016005089090066099010094124106066&EXT=pdf&INDEX=TRUE ,2020,6,QES,Facebook,6.1 qualtrics,US,news headline shared by fb user,facebook flag,platform,text and warning sign,simple rebuttal,18.1 low,headline,political,100,0.6676,0.3828,0.9524,0.0211
504,"ECKER U, O'REILLY Z, REID J, CHANG E",THE EFFECTIVENESS OF SHORTFORMAT REFUTATIONAL FACTCHECKS,https://doi.org/10.1111/bjop.12383,2020,7,QES,Facebook,6.3 mturk,US,16.1 fictional handles,fact-checkers/experts,fact-checkers/experts,warning sign,simple rebuttal,18.1 low,text,social,125,1.4038,1.0124,1.7952,0.0399
693,"KIM A, MORAVEC PL, DENNIS AR ",COMBATING FAKE NEWS ON SOCIAL MEDIA WITH SOURCE RATINGS THE EFFECTS OF USER AND EXPERT REPUTATION RATINGS,https://doi.org/10.1080/07421222.2019.1628921,2019,8,QES,Facebook,6.1 qualtrics,US,news headline shared by fb user,fact-checkers/experts,fact-checkers/experts,source rating,source rating,18.1 low,headline,health,590,2.882,2.6669,3.0971,0.012
693,"KIM A, MORAVEC PL, DENNIS AR ",COMBATING FAKE NEWS ON SOCIAL MEDIA WITH SOURCE RATINGS THE EFFECTS OF USER AND EXPERT REPUTATION RATINGS,https://doi.org/10.1080/07421222.2019.1628922,2019,9,QES,Facebook,6.1 qualtrics,US,news headline shared by fb user,other users,other users,source rating,source rating,18.1 low,headline,health,590,1.7376,1.5549,1.9203,0.0087
